Episode,Epochs,WinCount,WinPct,Loss
1,100,31,0.310,0.134544
2,100,30,0.300,0.052486
3,100,30,0.300,0.195008
4,100,38,0.380,0.556343
5,100,50,0.500,0.103798
6,100,51,0.510,0.475255
7,100,49,0.490,0.195052
8,100,44,0.440,0.059801
9,100,49,0.490,0.022083
10,100,49,0.490,0.056799
11,100,49,0.490,0.021096
12,100,55,0.550,0.034440
13,100,59,0.590,0.445966
14,100,70,0.700,0.019203
15,100,62,0.620,0.021949
16,100,67,0.670,0.036559
17,100,83,0.830,0.023674
18,100,78,0.780,0.134829
19,100,78,0.780,0.234507
20,100,87,0.870,0.010896
21,100,85,0.850,0.072494
22,100,89,0.890,0.027079
23,100,82,0.820,0.019293
24,100,89,0.890,0.335094
25,100,81,0.810,0.010920
26,100,91,0.910,0.252925
27,100,94,0.940,0.003073
28,100,81,0.810,0.018500
29,100,76,0.760,0.465611
30,100,88,0.880,0.014694
31,100,87,0.870,0.032367
32,100,87,0.870,0.023168
33,100,81,0.810,0.027787
34,100,80,0.800,0.260894
35,100,80,0.800,0.052504
36,100,82,0.820,0.012948
37,100,77,0.770,0.046569
38,100,75,0.750,0.044926
39,100,83,0.830,0.072014
40,100,79,0.790,0.023900
41,100,83,0.830,0.021207
42,100,78,0.780,0.051087
43,100,92,0.920,0.032238
44,100,97,0.970,0.018739
45,100,91,0.910,0.171619
46,100,94,0.940,0.013826
47,100,87,0.870,0.016870
48,100,90,0.900,0.011667
49,100,85,0.850,0.105164
50,100,86,0.860,0.071449
51,100,80,0.800,0.087543
52,100,81,0.810,0.017964
53,100,81,0.810,0.017821
54,100,87,0.870,0.037495
55,100,85,0.850,0.014596
56,100,93,0.930,0.015345
57,100,90,0.900,0.045219
58,100,81,0.810,0.031733
59,100,89,0.890,0.045991
60,100,90,0.900,0.006913
61,100,96,0.960,0.011244
62,100,89,0.890,0.370138
63,100,87,0.870,0.040696
64,100,86,0.860,0.009109
65,100,90,0.900,0.047676
66,100,95,0.950,0.022343
67,100,84,0.840,0.017939
68,100,92,0.920,0.010705
69,100,98,0.980,0.036632
70,100,90,0.900,0.093650
71,100,93,0.930,0.045564
72,100,78,0.780,0.004838
73,100,87,0.870,0.024066
74,100,83,0.830,0.051276
75,100,91,0.910,0.042571
76,100,96,0.960,0.021223
77,100,98,0.980,0.072933
78,100,94,0.940,0.114609
79,100,99,0.990,0.006255
80,100,97,0.970,0.025374
81,100,98,0.980,0.012322
82,100,98,0.980,0.041603
83,100,92,0.920,0.047641
84,100,95,0.950,0.032006
85,100,93,0.930,0.007045
86,100,97,0.970,0.010234
87,100,99,0.990,0.007356
88,100,93,0.930,0.021612
89,100,96,0.960,0.015343
90,100,94,0.940,0.011156
91,100,97,0.970,0.003239
92,100,95,0.950,0.166258
93,100,93,0.930,0.321219
94,100,92,0.920,0.028954
95,100,95,0.950,0.032611
96,100,94,0.940,0.007608
97,100,95,0.950,0.018138
98,100,94,0.940,0.117604
99,100,98,0.980,0.011567
100,100,99,0.990,0.001837
